loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
lotomania,116,23/05/2001,True,03,04,07,08,11,21,31,35,39,45,46,47,53,56,59,64,80,82,83,92,46,83,03,82,21,56,04,11,80,64,92,35,45,59,08,31,53,07,39,47
lotomania,117,26/05/2001,True,00,02,14,23,25,30,31,36,37,42,45,46,48,64,65,66,67,73,74,99,23,65,64,42,45,14,73,25,37,99,66,74,46,30,31,00,67,02,48,36
lotomania,118,30/05/2001,False,02,11,12,14,15,23,29,32,33,41,53,56,60,63,65,74,82,83,90,92,32,23,83,11,90,60,74,33,63,82,12,53,29,56,14,02,65,15,92,41
lotomania,119,02/06/2001,False,02,03,05,08,25,29,36,38,41,45,50,52,55,64,69,73,79,81,82,87,41,55,05,03,38,08,87,36,69,25,29,82,81,79,45,50,64,73,52,02
lotomania,120,06/06/2001,True,02,09,10,11,12,19,21,27,29,31,35,47,48,56,61,74,75,77,84,94,09,27,19,29,47,11,77,61,10,12,94,84,35,56,31,74,21,02,48,75
lotomania,121,09/06/2001,False,00,02,03,09,10,15,27,34,35,40,59,69,70,71,73,75,82,89,91,99,73,99,35,00,02,34,70,71,75,59,15,91,27,82,69,09,89,03,10,40
lotomania,122,13/06/2001,True,08,12,14,20,21,24,27,30,35,36,43,58,59,77,82,84,85,86,88,95,43,95,24,59,85,27,84,20,14,12,82,08,86,35,58,21,30,36,88,77
lotomania,123,16/06/2001,True,06,08,19,26,30,33,44,45,50,54,58,60,64,65,66,69,76,81,85,90,69,08,90,50,19,45,44,65,33,06,60,58,85,81,30,54,64,26,66,76
lotomania,124,20/06/2001,True,02,06,08,11,25,26,28,32,39,40,41,59,64,67,69,70,76,81,84,95,08,40,69,81,64,41,39,06,70,26,02,59,25,95,67,84,11,28,32,76
lotomania,125,23/06/2001,True,00,08,12,23,26,34,45,48,51,52,62,66,68,69,71,77,82,86,92,94,86,69,62,92,68,77,51,48,34,45,08,23,26,00,52,82,66,12,71,94
lotomania,126,27/06/2001,True,01,03,07,08,09,12,14,20,29,37,38,40,41,46,56,63,68,83,96,97,68,38,29,09,07,97,40,37,12,56,08,01,96,83,14,46,20,63,03,41
