loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,o1,o2,o3,o4,o5,o6
megasena,2341,03/02/2021,False,04,09,31,32,42,46,09,46,04,32,31,42
megasena,2342,06/02/2021,True,17,20,24,27,40,60,20,24,17,27,40,60
megasena,2343,10/02/2021,True,04,31,42,45,49,56,56,49,31,04,45,42
megasena,2344,13/02/2021,True,11,17,25,38,52,57,38,11,52,57,17,25
megasena,2345,17/02/2021,True,07,16,19,22,28,55,16,22,07,55,19,28
megasena,2346,20/02/2021,True,03,04,11,40,42,58,04,58,03,40,11,42
megasena,2347,24/02/2021,True,08,09,17,30,58,60,17,58,09,60,30,08
megasena,2348,27/02/2021,False,02,03,07,48,51,54,02,03,51,48,54,07
megasena,2349,03/03/2021,False,05,10,25,32,49,54,54,25,05,10,49,32
megasena,2350,06/03/2021,True,25,28,29,34,41,45,45,28,34,29,25,41
megasena,2351,10/03/2021,True,19,22,35,41,47,49,35,49,19,22,47,41
megasena,2352,13/03/2021,True,09,17,38,41,49,55,17,55,09,41,38,49
megasena,2353,17/03/2021,True,03,19,34,41,48,53,19,03,34,53,48,41
megasena,2354,20/03/2021,False,06,18,25,30,42,54,18,54,25,06,30,42
megasena,2355,24/03/2021,True,07,30,31,41,50,56,31,07,30,41,56,50
megasena,2356,27/03/2021,False,03,10,25,36,51,58,51,36,03,58,10,25
megasena,2357,31/03/2021,True,19,28,30,34,40,51,28,34,51,19,40,30
megasena,2358,03/04/2021,True,05,09,11,16,43,57,05,43,16,11,09,57
megasena,2359,06/04/2021,True,31,32,39,42,43,51,39,42,43,51,31,32
megasena,2360,08/04/2021,True,10,15,21,24,29,45,15,21,24,45,29,10
megasena,2361,10/04/2021,True,14,21,22,29,35,46,46,21,35,29,14,22
megasena,2362,14/04/2021,True,03,20,22,32,35,50,35,22,32,20,50,03
megasena,2363,17/04/2021,False,06,14,24,34,39,58,34,06,58,39,14,24
megasena,2364,22/04/2021,True,20,33,42,44,51,56,42,56,33,20,51,44
megasena,2365,24/04/2021,True,01,17,28,37,44,50,44,50,17,28,37,01
megasena,2366,28/04/2021,True,04,27,33,35,38,41,33,41,38,27,04,35
megasena,2367,30/04/2021,True,05,23,29,34,53,60,29,05,23,34,53,60
megasena,2368,04/05/2021,False,04,07,13,25,36,58,13,07,36,25,58,04
megasena,2369,06/05/2021,True,04,09,17,19,37,60,60,09,19,04,17,37
megasena,2370,08/05/2021,True,07,31,37,42,44,56,56,31,37,07,44,42
megasena,2371,12/05/2021,True,04,15,30,36,39,48,30,48,36,04,39,15
megasena,2372,15/05/2021,True,03,19,25,44,46,57,19,25,44,46,03,57
megasena,2373,19/05/2021,True,23,24,26,44,49,60,44,26,23,49,60,24
megasena,2374,22/05/2021,True,12,13,25,37,39,41,25,37,39,13,41,12
megasena,2375,26/05/2021,True,02,06,44,46,53,58,58,06,46,53,44,02
megasena,2376,29/05/2021,False,12,14,17,18,19,22,22,12,17,18,19,14
megasena,2377,02/06/2021,True,05,18,29,35,43,44,35,05,44,18,43,29
megasena,2378,05/06/2021,True,11,37,38,41,49,54,37,49,41,54,11,38
megasena,2379,09/06/2021,True,02,08,26,32,46,56,26,32,56,02,08,46
megasena,2380,12/06/2021,False,11,16,20,24,39,53,53,39,11,16,20,24
megasena,2381,16/06/2021,True,07,23,32,41,42,47,47,41,32,07,23,42
megasena,2382,19/06/2021,False,06,09,19,38,53,55,53,06,19,09,38,55
megasena,2383,23/06/2021,False,13,15,16,20,40,41,41,16,40,20,15,13
megasena,2384,26/06/2021,True,09,13,22,25,26,31,25,26,09,13,22,31
megasena,2385,29/06/2021,True,12,24,32,37,43,60,32,12,43,37,24,60
megasena,2386,01/07/2021,True,11,13,16,35,49,50,35,13,11,50,49,16
megasena,2387,03/07/2021,True,08,26,30,31,38,48,38,26,30,08,31,48
megasena,2388,07/07/2021,True,08,30,33,37,45,48,08,37,45,48,33,30
megasena,2389,10/07/2021,True,16,30,37,39,40,51,39,30,16,51,37,40
megasena,2390,14/07/2021,True,09,13,20,22,32,56,20,13,09,56,32,22
megasena,2391,17/07/2021,False,05,08,13,27,36,50,05,08,13,27,50,36
megasena,2392,21/07/2021,True,11,15,23,25,34,53,53,34,25,15,23,11
megasena,2393,24/07/2021,True,26,27,28,32,38,51,32,28,38,51,27,26
megasena,2394,28/07/2021,True,05,16,25,36,42,44,42,44,05,25,36,16
megasena,2395,31/07/2021,True,04,11,12,44,45,57,44,11,04,45,57,12
megasena,2396,04/08/2021,True,02,03,25,39,42,49,03,25,02,49,42,39
megasena,2397,07/08/2021,True,06,14,20,39,46,48,06,14,48,46,20,39
megasena,2398,10/08/2021,False,08,17,30,36,54,59,36,59,17,30,08,54
megasena,2399,12/08/2021,True,27,35,42,44,51,52,52,42,35,27,51,44
megasena,2400,14/08/2021,True,09,21,25,26,36,53,09,26,36,25,21,53
megasena,2401,18/08/2021,True,08,11,13,33,38,48,08,38,13,33,11,48
